Dátum,Registration,New,Elhunytak,Gyógyultak,Mintavétel száma,Egymillió lakosra elvégzett tesztek száma,Kórházi karanténba zártak száma,Regisztrált esetek százalékos változása az előző naphoz viszonyítva,Pozitív tesztek aránya,A mintavételek számának százalékos változása az előző naphoz képest,Aktív fertőzöttek száma,Elhunytak aránya Magyarországon,Gyógyultak aránya Magyarországon,Hatósági házi karantén,Új mintavételek száma,Új esetek aránya az új mintavételekhez képest,New Deaths,Új gyógyultak naponta,Kórházi ápoltak száma,Lélegeztetőgépen lévők száma,Aktív esetek/összes eset,Kórházi ápoltak számának változása az előző naphoz képest,Lélegeztetőgépen lévők számának változása az előző naphoz képest,Kórházi ápoltak aránya az aktív eseteken belül,Lélegeztetőgépen lévők aránya a kórházi ápoltakon belül,Növekedési faktor,Hétnapos mozgóátlag,Hétnapos csúszóátlag,Hétnapos csúszóátlag.1,Hétnapos csúszóátlag.2,Hétnapos csúszóátlag.3,Beoltottak száma Magyarországon,Új beoltottak száma Magyarországon,Hétnapos csúszóátlag.4,Második oltás,Második oltás napi,Hétnapos csúszóátlag.5,Hétnapos csúszóátlag.6
2020-04-12,1410.0,100.0,99.0,118.0,33532.0,3421.632653061224,,0.0763,0.042,0.049,1193.0,0.0702,0.0837,15333.0,1571.0,0.0637,14.0,3.0,,,0.8460992907801419,0.0,0.0,,,2.083076923076923,1.4725634423667902,96.71428571428571,9.285714285714286,1754.5714285714287,0.05182857142857143,,,,,,,7.428571428571429
2020-04-13,1458.0,48.0,109.0,120.0,34819.0,3552.959183673469,,0.034,0.0419,0.038,1229.0,0.0748,0.0823,15333.0,1287.0,0.0373,10.0,2.0,,,0.8429355281207133,0.0,0.0,,,2.404040404040404,1.6644671735562357,102.0,10.142857142857142,1791.0,0.05562857142857142,,,,,,,7.571428571428571
2020-04-14,1512.0,54.0,122.0,122.0,35825.0,3655.612244897959,,0.037,0.0422,0.029,1268.0,0.0807,0.0807,14355.0,1006.0,0.0537,13.0,2.0,,,0.8386243386243386,0.0,0.0,,,2.1384615384615384,1.8177368546947694,99.28571428571429,10.714285714285714,1725.5714285714287,0.056171428571428574,,,,,,,7.285714285714286
2020-04-15,1579.0,67.0,134.0,192.0,37326.0,3808.7755102040815,,0.0443,0.0423,0.042,1253.0,0.0849,0.1216,13360.0,1501.0,0.0446,12.0,70.0,,,0.7935402153261558,0.0,0.0,,,1.8486486486486486,1.9050497767903,97.71428571428571,10.857142857142858,1654.0,0.05697142857142856,,,,,,,14.0
2020-04-16,1652.0,73.0,142.0,199.0,38489.0,3927.4489795918366,,0.0462,0.0429,0.031,1311.0,0.086,0.1205,12737.0,1163.0,0.0628,8.0,7.0,729.0,60.0,0.7935835351089588,729.0,60.0,0.5560640732265446,0.0823045267489712,1.70126582278481,1.9739254939782536,96.0,10.857142857142858,1523.2857142857142,0.060099999999999994,,,,,,,14.714285714285714
2020-04-17,1763.0,111.0,156.0,207.0,41590.0,4243.877551020408,,0.0672,0.0424,0.081,1400.0,0.0885,0.1174,12401.0,3101.0,0.0358,14.0,8.0,847.0,63.0,0.7941009642654566,118.0,3.0,0.605,0.0743801652892562,1.0105820105820107,1.867520358824777,81.85714285714286,11.285714285714286,1663.142857142857,0.051071428571428566,,,,,,,13.571428571428571
2020-04-18,1834.0,71.0,172.0,231.0,43901.0,4479.69387755102,,0.0403,0.0418,0.056,1431.0,0.0938,0.126,12150.0,2311.0,0.0307,16.0,24.0,829.0,60.0,0.7802617230098147,-18.0,-3.0,0.5793151642208246,0.07237635705669482,0.8291139240506329,1.7164556102349953,74.85714285714286,12.428571428571429,1705.7142857142858,0.04694285714285714,,,,,,,16.571428571428573
2020-04-19,1916.0,82.0,189.0,250.0,46353.0,4729.897959183673,,0.0447,0.0413,0.056,1477.0,0.0986,0.1305,11959.0,2452.0,0.0334,17.0,19.0,784.0,61.0,0.7708768267223383,-45.0,1.0,0.5308056872037915,0.0778061224489796,0.7474150664697193,1.5256467735768235,72.28571428571429,12.857142857142858,1831.5714285714287,0.04261428571428571,,,,,,,18.857142857142858
2020-04-20,1984.0,68.0,199.0,267.0,48057.0,4903.775510204081,,0.0355,0.0413,0.037,1518.0,0.1003,0.1346,11240.0,1704.0,0.0399,10.0,17.0,811.0,60.0,0.7651209677419355,27.0,-1.0,0.5342555994729907,0.07398273736128237,0.7366946778711485,1.2874545269812157,75.14285714285714,12.857142857142858,1891.142857142857,0.04298571428571429,,,,,,,21.0
2020-04-21,2098.0,114.0,213.0,287.0,50052.0,5107.346938775509,,0.0575,0.0419,0.042,1598.0,0.1015,0.1368,11172.0,1995.0,0.0571,14.0,20.0,842.0,82.0,0.7616777883698761,31.0,22.0,0.5269086357947435,0.09738717339667459,0.8431654676258993,1.102412231147553,83.71428571428571,13.0,2032.4285714285713,0.043471428571428564,,,,,,,23.571428571428573
